date,home_team,away_team,rank_diff_inv,rating_diff,form_diff,h_inv_rank,h_squad_rating,h_recent_form,squad_rank_interaction,rating_delta_form,target
2023-03-23,Gabon,Sudan,49.0,0,0.0,133.0,70,1.0,9310.0,0.0,1
2023-03-23,Italy,England,-3.0,-3,0.0,204.0,82,1.0,16728.0,-3.0,0
2023-03-23,North Macedonia,Malta,102.0,0,0.0,147.0,70,1.0,10290.0,0.0,1
2023-03-23,Denmark,Finland,38.0,9,1.0,194.0,79,1.0,15326.0,9.0,1
2023-03-23,San Marino,Northern Ireland,-152.0,0,0.0,1.0,70,1.0,70.0,0.0,0
2023-03-23,Kazakhstan,Slovenia,-53.0,0,0.0,97.0,70,1.0,6790.0,0.0,0
2023-03-23,Portugal,Liechtenstein,189.0,14,0.0,203.0,84,1.0,17052.0,14.0,1
2023-03-23,Bosnia and Herzegovina,Iceland,6.0,4,0.5,155.0,74,1.0,11470.0,4.0,1
2023-03-23,Slovakia,Luxembourg,38.0,0,0.0,158.0,70,1.0,11060.0,0.0,0
2023-03-23,Suriname,Mexico,-124.0,-8,0.0,73.0,70,1.0,5110.0,-8.0,0
2023-03-23,Barbados,Cuba,2.0,0,0.0,46.0,70,1.0,3220.0,0.0,0
2023-03-23,Guadeloupe,Antigua and Barbuda,31.0,0,0.0,112.0,70,1.0,7840.0,0.0,0
2023-03-23,French Guiana,Dominican Republic,52.0,0,0.0,112.0,70,1.0,7840.0,0.0,0
2023-03-23,Saint Martin,St Kitts and Nevis,40.0,0,2.0,112.0,70,3.0,7840.0,0.0,0
2023-03-23,British Virgin Islands,Puerto Rico,-39.0,0,0.0,3.0,70,1.0,210.0,0.0,0
2023-03-24,Australia,Ecuador,14.0,-3,0.0,185.0,74,1.0,13690.0,-3.0,1
2023-03-24,Japan,Uruguay,-4.0,-3,0.0,192.0,78,1.0,14976.0,-3.0,0
2023-03-24,Korea Republic,Colombia,-8.0,-3,0.0,187.0,77,1.0,14399.0,-3.0,0
2023-03-24,Kuwait,Philippines,-14.0,0,0.25,64.0,70,1.0,4480.0,0.0,1
2023-03-24,Saudi Arabia,Venezuela,6.0,3,0.0,163.0,73,1.0,11899.0,3.0,0
2023-03-24,Tahiti,New Caledonia,-1.0,0,-3.0,50.0,70,0.0,3500.0,0.0,1
2023-03-24,Uzbekistan,Bolivia,5.0,1,0.0,135.0,71,1.0,9585.0,1.0,1
2023-03-24,Nigeria,Guinea-Bissau,83.0,8,0.0,177.0,78,1.0,13806.0,8.0,0
2023-03-24,Cabo Verde,Eswatini,71.0,3,0.0,140.0,73,1.0,10220.0,3.0,0
2023-03-24,Burkina Faso,Togo,77.0,0,0.0,162.0,70,1.0,11340.0,0.0,1
2023-03-24,Cameroon,Namibia,80.0,6,0.0,179.0,76,1.0,13604.0,6.0,0
2023-03-24,Guinea,Ethiopia,55.0,0,-2.0,129.0,70,1.0,9030.0,0.0,1
2023-03-24,Egypt,Malawi,85.0,6,0.0,173.0,76,1.0,13148.0,6.0,1
2023-03-24,Uganda,Tanzania,41.0,0,0.0,123.0,70,1.0,8610.0,0.0,0
2023-03-24,Mali,The Gambia,81.0,0,0.0,167.0,70,1.0,11690.0,0.0,1
2023-03-24,Côte d'Ivoire,Comoros,82.0,8,0.0,165.0,78,1.0,12870.0,8.0,1
2023-03-24,Congo DR,Mauritania,30.0,3,0.0,139.0,73,1.0,10147.0,3.0,1
2023-03-24,Equatorial Guinea,Botswana,51.0,0,0.0,114.0,70,1.0,7980.0,0.0,1
2023-03-24,Tunisia,Libya,90.0,4,0.0,182.0,74,1.0,13468.0,4.0,1
2023-03-24,South Africa,Liberia,83.0,2,0.0,145.0,72,1.0,10440.0,2.0,0
2023-03-24,Senegal,Mozambique,95.0,9,0.0,193.0,79,1.0,15247.0,9.0,1
2023-03-24,Gibraltar,Greece,-149.0,0,0.0,12.0,70,1.0,840.0,0.0,0
2023-03-24,France,Netherlands,3.0,2,0.0,209.0,85,1.0,17765.0,2.0,1
2023-03-24,Czechia,Poland,-16.0,0,0.0,174.0,77,1.0,13398.0,0.0,1
2023-03-24,Moldova,Faroe Islands,-51.0,0,0.0,38.0,70,1.0,2660.0,0.0,0
2023-03-24,Austria,Azerbaijan,87.0,8,0.0,178.0,78,1.0,13884.0,8.0,1
2023-03-24,Sweden,Belgium,-19.0,-6,2.0,189.0,77,3.0,14553.0,-18.0,0
2023-03-24,Bulgaria,Montenegro,-2.0,0,0.0,141.0,70,1.0,9870.0,0.0,0
2023-03-24,Serbia,Lithuania,115.0,7,2.0,183.0,77,3.0,14091.0,21.0,1
2023-03-24,Grenada,United States,-73.0,-8,0.75,39.0,70,1.25,2730.0,-10.0,0
2023-03-24,Bahamas,Trinidad and Tobago,-99.0,0,-1.0,9.0,70,1.0,630.0,0.0,0
2023-03-24,Nicaragua,St Vincent and the Grenadines,36.0,0,0.0,70.0,70,1.0,4900.0,0.0,1
2023-03-24,Belize,Guatemala,-57.0,0,0.0,36.0,70,1.0,2520.0,0.0,0
2023-03-24,Anguilla,St Lucia,-38.0,0,-0.5,2.0,70,1.0,140.0,0.0,0
2023-03-25,Bahrain,Palestine,8.0,0,0.75,127.0,70,1.75,8890.0,0.0,0
2023-03-25,Bangladesh,Seychelles,7.0,0,0.0,20.0,70,1.0,1400.0,0.0,1
2023-03-25,Bhutan,Laos,2.0,0,0.8,27.0,70,1.0,1890.0,0.0,0
2023-03-25,Georgia,Mongolia,105.0,0,0.0,134.0,70,1.0,9380.0,0.0,1
2023-03-25,Germany,Peru,7.0,8,0.0,198.0,83,1.0,16434.0,8.0,1
2023-03-25,Indonesia,Burundi,-10.0,0,0.6000000000000001,61.0,70,1.6,4270.0,0.0,1
2023-03-25,Morocco,Brazil,-10.0,-4,0.0,201.0,80,1.0,16080.0,-4.0,1
